topic,question,options_A,options_B,options_C,options_D,correct_answer,explanation
Fundamentals of Care,A nurse is preparing to administer a subcutaneous injection. Which technique ensures patient safety?,Pinch the skin and inject at a 45-degree angle,Inject without pinching the skin at a 90-degree angle,Use a 1-inch needle for all patients,Aspirate before injecting the medication,A,Pinching the skin and injecting at a 45-degree angle ensures proper delivery into subcutaneous tissue reducing risk of intramuscular injection.
Fundamentals of Care,A patient with a central venous catheter reports pain at the insertion site. What is the nurse’s priority action?,Flush the catheter with saline,Assess the site for signs of infection or complications,Administer a pain reliever immediately,Reposition the catheter to relieve discomfort,B,Assessing the site for infection or complications is the priority to identify potential serious issues like infection or thrombosis.
Fundamentals of Care,A nurse is teaching a patient about self-care for a new colostomy. Which instruction is most appropriate?,Change the pouch every 12 hours,Use hot water to clean the stoma,Apply adhesive remover to the skin daily,Empty the pouch when one-third to one-half full,D,Emptying the pouch when one-third to one-half full prevents leakage and maintains skin integrity promoting effective self-care.
Fundamentals of Care,A patient with dysphagia is at risk for aspiration. Which position is safest during meals?,Supine with head elevated 30 degrees,Lying flat to relax the esophagus,Upright at 90 degrees with head slightly forward,Semi-Fowler’s at 45 degrees,C,An upright 90-degree position with head slightly forward minimizes aspiration risk by aligning the esophagus for safe swallowing.
Fundamentals of Care,A nurse is caring for a patient on strict bed rest. Which intervention best prevents deep vein thrombosis?,Apply sequential compression devices as ordered,Massage the lower extremities every 4 hours,Encourage active leg exercises every 8 hours,Elevate the legs above heart level continuously,A,Sequential compression devices promote venous return and prevent stasis reducing the risk of deep vein thrombosis in immobile patients.
Fundamentals of Care,A patient with a new tracheostomy requires suctioning. What is the nurse’s priority action before suctioning?,Administer a bronchodilator,Pre-oxygenate the patient with 100% oxygen,Insert the suction catheter without suction,Clean the suction catheter with saline,B,Pre-oxygenating with 100% oxygen prevents hypoxia during suctioning ensuring patient safety.
Fundamentals of Care,A nurse is preparing to change a sterile dressing. Which action indicates a break in sterile technique?,Opening sterile supplies within the sterile field,Using sterile gloves to handle dressings,Placing sterile items above waist level,Reaching over the sterile field with non-sterile hands,D,Reaching over the sterile field with non-sterile hands contaminates the field breaking sterile technique.
Fundamentals of Care,A patient with a history of falls is ambulating. Which assistive device is most appropriate for stability?,Single-point cane,Crutches with axillary pads,Four-wheeled walker with a seat,Standard cane with a rubber tip,C,A four-wheeled walker with a seat provides maximum stability and allows rest reducing fall risk for patients with a history of falls.
Fundamentals of Care,A nurse is monitoring a patient receiving oxygen via a non-rebreather mask. Which finding requires immediate action?,Oxygen saturation of 88%,Respiratory rate of 16 breaths per minute,Clear lung sounds bilaterally,Patient reports feeling comfortable,A,An oxygen saturation of 88% indicates hypoxemia requiring immediate action to adjust oxygen delivery or assess for complications.
Fundamentals of Care,A patient with limited English proficiency needs discharge instructions. What is the nurse’s best action?,Provide written instructions in English,Use a certified medical interpreter for verbal instructions,Ask a family member to translate,Use gestures to communicate instructions,B,Using a certified medical interpreter ensures accurate communication of discharge instructions respecting patient safety and understanding.
