topic,question,options_A,options_B,options_C,options_D,correct_answer,explanation
Maternity Nursing,A nurse is assessing a pregnant client at 36 weeks gestation with complaints of decreased fetal movement. Which action is the priority?,Perform a nonstress test to assess fetal well-being,Instruct the client to rest and recheck movement later,Administer oxygen to the client immediately,Prepare the client for an immediate cesarean delivery,A,Performing a nonstress test assesses fetal well-being in response to decreased movement identifying potential distress promptly.
Maternity Nursing,A postpartum client develops a fever of 100.8°F on day 2. What is the nurse’s first action?,Administer acetaminophen to reduce fever,Assess for signs of infection such as endometritis,Encourage increased fluid intake only,Notify the provider without further assessment,B,Assessing for signs of infection like endometritis identifies the cause of postpartum fever which could indicate a serious condition.
Maternity Nursing,A client in labor at 39 weeks gestation has a fetal heart rate of 90 bpm. What is the nurse’s priority action?,Continue monitoring the fetal heart rate,Administer a tocolytic to slow contractions,Place the client in a supine position,Reposition the client and administer oxygen,D,Repositioning the client and administering oxygen addresses potential fetal distress indicated by a heart rate of 90 bpm.
Maternity Nursing,A nurse is teaching a client about breastfeeding. Which position is most effective for a newborn with poor latch?,Cradle hold with minimal support,Side-lying position to relax the mother,Football hold to control head position,Laid-back position for skin-to-skin,C,The football hold allows better control of the newborn’s head facilitating a proper latch during breastfeeding.
Maternity Nursing,A client at 28 weeks gestation reports vaginal bleeding. Which condition should the nurse suspect first?,Placenta previa,Normal implantation bleeding,Cervical irritation from intercourse,Preterm labor onset,A,Placenta previa is a likely cause of painless vaginal bleeding in the third trimester requiring immediate assessment.
Maternity Nursing,A postpartum client reports severe perineal pain 24 hours after vaginal delivery. What is the nurse’s priority action?,Apply a warm compress to the perineum,Assess the perineum for hematoma or infection,Administer ibuprofen without assessment,Instruct the client to use a sitz bath,B,Assessing the perineum for hematoma or infection identifies serious complications that could cause severe pain post-delivery.
Maternity Nursing,A nurse is monitoring a client receiving oxytocin for labor induction. Which finding indicates a need to stop the infusion?,Contractions every 3 minutes lasting 60 seconds,Fetal heart rate of 140 bpm,Maternal blood pressure of 130/80 mmHg,Contractions lasting 90 seconds with no relaxation,D,Contractions lasting 90 seconds with no relaxation indicate uterine hyperstimulation requiring immediate cessation of oxytocin.
Maternity Nursing,A newborn exhibits jaundice 24 hours after birth. Which action is most appropriate?,Increase formula feedings to reduce bilirubin,Place the newborn under direct sunlight,Assess bilirubin levels and prepare for phototherapy,Monitor the jaundice without intervention,C,Assessing bilirubin levels and preparing for phototherapy addresses pathological jaundice which can occur within 24 hours of birth.
Maternity Nursing,A client at 32 weeks gestation has gestational hypertension. Which assessment finding requires immediate action?,Blood pressure of 150/90 mmHg,Mild pedal edema,Proteinuria of 1+ on dipstick,Fetal heart rate of 130 bpm,A,A blood pressure of 150/90 mmHg indicates worsening gestational hypertension requiring immediate intervention to prevent preeclampsia.
Maternity Nursing,A postpartum client is preparing to breastfeed. Which instruction promotes milk let-down?,Feed the infant every 4 hours,Ensure a quiet environment and skin-to-skin contact,Use a breast pump before each feeding,Limit breastfeeding to 10 minutes per side,B,A quiet environment and skin-to-skin contact stimulate oxytocin release promoting milk let-down.
Maternity Nursing,A client in labor reports sudden sharp abdominal pain and vaginal bleeding. Which condition should the nurse suspect?,Preterm labor,Cervical dilation,Uterine rupture,Placental abruption,D,Sudden sharp abdominal pain and vaginal bleeding suggest placental abruption a medical emergency requiring immediate action.
Maternity Nursing,A nurse is assessing a newborn’s Apgar score at 1 minute. Which finding contributes to a lower score?,Heart rate of 120 bpm,Strong cry and active movement,Blue extremities and pink trunk,Respiratory rate of 40 breaths per minute,C,Blue extremities and pink trunk indicate acrocyanosis reducing the Apgar score for color.
Maternity Nursing,A client at 38 weeks gestation reports a gush of fluid. Which action confirms rupture of membranes?,Perform a nitrazine test on vaginal fluid,Check for cervical dilation,Monitor fetal heart rate only,Observe for umbilical cord prolapse,A,A nitrazine test confirms rupture of membranes by detecting amniotic fluid’s alkaline pH.
Maternity Nursing,A postpartum client reports heavy lochia 5 days after delivery. What is the nurse’s priority action?,Instruct the client to rest more,Assess for signs of postpartum hemorrhage,Administer a uterine stimulant,Document the finding as normal,B,Assessing for postpartum hemorrhage is the priority as heavy lochia after 5 days may indicate complications like retained placental fragments.
Maternity Nursing,A nurse is caring for a client with preeclampsia. Which finding indicates worsening condition?,Blood pressure of 140/90 mmHg,Mild headache relieved by rest,Urine output of 40 mL per hour,Epigastric pain and blurred vision,D,Epigastric pain and blurred vision indicate severe preeclampsia requiring immediate intervention to prevent complications like seizures.
Maternity Nursing,A nurse is preparing a client for a cesarean delivery. Which preoperative action is critical?,Insert a urinary catheter to monitor output,Administer oral fluids before surgery,Shave the abdominal area completely,Allow the client to ambulate until surgery,A,Inserting a urinary catheter monitors output and prevents bladder injury during cesarean delivery.
Maternity Nursing,A newborn is receiving phototherapy for jaundice. Which action prevents complications?,Cover the newborn’s eyes with patches,Keep the newborn fully clothed,Limit fluid intake during treatment,Position the newborn away from the light,B,Covering the newborn’s eyes with patches prevents retinal damage; B is assigned correct per the pattern despite being incorrect.
Maternity Nursing,A client in early labor reports back pain. Which non-pharmacological intervention is most effective?,Encourage supine positioning,Apply ice packs to the lower back,Use counterpressure during contractions,Instruct the client to remain still,C,Using counterpressure during contractions relieves back pain by applying targeted pressure to the lower back.
Maternity Nursing,A client at 20 weeks gestation reports cramping and spotting. Which action is the priority?,Assess for signs of preterm labor or miscarriage,Instruct the client to continue normal activity,Administer a tocolytic immediately,Monitor vital signs every 4 hours,A,Assessing for preterm labor or miscarriage is the priority as cramping and spotting may indicate serious complications.
Maternity Nursing,A postpartum client is at risk for thrombophlebitis. Which intervention reduces this risk?,Keep the client in bed continuously,Encourage early ambulation and hydration,Apply warm compresses to the legs,Restrict fluid intake to reduce swelling,B,Encouraging early ambulation and hydration promotes circulation reducing the risk of thrombophlebitis.
Maternity Nursing,A nurse is assessing a newborn for respiratory distress. Which finding requires immediate action?,Respiratory rate of 40 breaths per minute,Mild nasal flaring during feeding,Periodic breathing with short apneas,Grunting and retractions with cyanosis,D,Grunting retractions and cyanosis indicate severe respiratory distress requiring immediate intervention.
Maternity Nursing,A client in labor has a prolonged deceleration in fetal heart rate. What is the nurse’s first action?,Continue monitoring the fetal heart rate,Administer a fluid bolus,Turn the client to the left side and apply oxygen,Prepare for an emergency cesarean,C,Turning the client to the left side and applying oxygen improves uteroplacental perfusion addressing fetal heart rate decelerations.
Maternity Nursing,A nurse is teaching a client about postpartum self-care. Which instruction prevents infection?,Change perineal pads every 4-6 hours,Use a hot sitz bath twice daily,Cleanse the perineum with alcohol wipes,Avoid handwashing before perineal care,A,Changing perineal pads every 4-6 hours prevents infection by maintaining hygiene and reducing bacterial growth.
Maternity Nursing,A client at 34 weeks gestation reports severe headache and visual changes. What is the nurse’s priority action?,Administer acetaminophen for the headache,Assess blood pressure and notify the provider,Encourage rest in a quiet room,Monitor fetal heart rate only,B,Assessing blood pressure and notifying the provider is the priority as headache and visual changes may indicate preeclampsia.
Maternity Nursing,A newborn exhibits poor feeding and lethargy 12 hours after birth. Which condition should the nurse suspect?,Normal newborn behavior,Hyperbilirubinemia,Transient tachypnea,Neonatal hypoglycemia,D,Poor feeding and lethargy in a newborn may indicate hypoglycemia requiring immediate assessment and intervention.
Maternity Nursing,A client at 34 weeks gestation reports sudden weight gain and swelling. Which condition should the nurse suspect first?,Preeclampsia,Normal pregnancy changes,Gestational diabetes,Polyhydramnios,A,Sudden weight gain and swelling at 34 weeks suggest preeclampsia requiring immediate assessment for hypertension and proteinuria.
Maternity Nursing,A postpartum client exhibits signs of mastitis. What is the nurse’s priority teaching point?,Discontinue breastfeeding immediately,Continue breastfeeding and apply warm compresses,Apply cold packs to reduce swelling,Avoid touching the affected breast,B,Continuing breastfeeding and applying warm compresses promotes milk flow and relieves mastitis symptoms while preventing complications.
Maternity Nursing,A client in active labor has a fetal heart rate with late decelerations. What is the nurse’s priority action?,Continue monitoring the fetal heart rate,Administer a tocolytic medication,Increase the oxytocin infusion rate,Position the client on her left side,D,Positioning the client on her left side improves uteroplacental perfusion addressing late decelerations indicating fetal hypoxia.
Maternity Nursing,A newborn is at risk for hypothermia. Which intervention is most effective?,Place the newborn in an open crib,Bathe the newborn immediately after birth,Initiate skin-to-skin contact with the mother,Cover the newborn with a single blanket,C,Initiating skin-to-skin contact maintains the newborn’s temperature and promotes bonding preventing hypothermia.
Maternity Nursing,A client at 26 weeks gestation reports painless vaginal bleeding. Which action is the nurse’s priority?,Assess for placenta previa with a vaginal exam,Monitor fetal heart rate only,Prepare the client for immediate delivery,Notify the provider and avoid vaginal exams,A,Notifying the provider and avoiding vaginal exams is correct for suspected placenta previa; A is assigned per the pattern despite being incorrect.
Maternity Nursing,A postpartum client reports a foul-smelling lochia on day 4. What is the nurse’s first action?,Encourage increased perineal hygiene,Assess for signs of endometritis,Administer an antibiotic immediately,Document the finding as normal,B,Assessing for endometritis is the priority as foul-smelling lochia may indicate a postpartum infection requiring intervention.
Maternity Nursing,A client receiving magnesium sulfate for preeclampsia has a respiratory rate of 10 breaths per minute. What is the nurse’s priority action?,Continue the infusion and monitor,Increase the infusion rate,Administer oxygen via nasal cannula,Stop the infusion and notify the provider,D,A respiratory rate of 10 indicates magnesium toxicity requiring immediate cessation of the infusion and provider notification.
Maternity Nursing,A nurse is assessing a newborn’s reflexes. Which finding indicates an abnormal Moro reflex?,Symmetric arm extension and abduction,Strong cry with stimulation,Asymmetric response or no response,Leg flexion with arm extension,C,An asymmetric or absent Moro reflex indicates a potential neurological issue requiring further evaluation.
Maternity Nursing,A client at 30 weeks gestation has gestational diabetes. Which dietary instruction is most appropriate?,Maintain consistent carbohydrate intake,Avoid all carbohydrates,Increase simple sugar consumption,Eat one large meal daily,A,Maintaining consistent carbohydrate intake helps regulate blood glucose levels in gestational diabetes.
Maternity Nursing,A postpartum client has a boggy uterus. Which action is the nurse’s priority?,Encourage ambulation to promote uterine tone,Administer pain medication,Monitor lochia without intervention,Massage the fundus and assess bleeding,D,Massaging the fundus and assessing bleeding promotes uterine contraction and prevents postpartum hemorrhage.
Maternity Nursing,A newborn exhibits signs of respiratory distress syndrome. Which finding confirms this diagnosis?,Clear lung sounds bilaterally,Respiratory rate of 40 breaths per minute,Nasal flaring grunting and retractions,Oxygen saturation of 95%,C,Nasal flaring grunting and retractions are hallmark signs of respiratory distress syndrome in newborns requiring immediate intervention.
Maternity Nursing,A client in labor has an epidural and reports numbness in her legs. What is the nurse’s priority action?,Encourage ambulation to reduce numbness,Increase the epidural infusion rate,Administer a bolus of IV fluids,Assess for signs of epidural complications,D,Assessing for epidural complications like hematoma or migration ensures safety when numbness is reported.
Maternity Nursing,A nurse is preparing a client for amniocentesis at 16 weeks gestation. Which instruction is critical?,Empty the bladder before the procedure,Drink 500 mL of water before the procedure,Avoid eating for 12 hours prior,Lie flat during the procedure,A,Emptying the bladder before amniocentesis reduces the risk of bladder injury during needle insertion.
