topic,question,options_A,options_B,options_C,options_D,correct_answer,explanation
Pediatric Nursing,A 4-year-old child with asthma presents with wheezing and shortness of breath. Which action is the nurse’s priority?,Administer a bronchodilator via nebulizer,Encourage deep breathing exercises,Place the child in a supine position,Monitor respiratory rate every 4 hours,A,Administering a bronchodilator via nebulizer is the priority to relieve acute asthma symptoms and improve airflow.
Pediatric Nursing,A 6-month-old infant is admitted with dehydration due to gastroenteritis. What is the nurse’s first action?,Administer oral rehydration solution,Assess hydration status and vital signs,Provide a bottle of formula immediately,Notify the provider without assessment,B,Assessing hydration status and vital signs determines the severity of dehydration guiding appropriate intervention.
Pediatric Nursing,A 10-year-old child with type 1 diabetes has a blood glucose level of 50 mg/dL. What is the nurse’s priority action?,Administer insulin immediately,Monitor glucose levels every hour,Encourage the child to rest,Provide a fast-acting carbohydrate source,D,Providing a fast-acting carbohydrate source treats hypoglycemia quickly preventing complications like seizures.
Pediatric Nursing,A 2-year-old child is suspected of having meningitis. Which assessment finding requires immediate action?,Mild fever of 100.4°F,Irritability and poor feeding,Nuchal rigidity and photophobia,Normal fontanel tension,C,Nuchal rigidity and photophobia indicate meningitis requiring immediate intervention to prevent neurological complications.
Pediatric Nursing,A 5-year-old child with a new tracheostomy requires suctioning. Which technique ensures safety?,Suction for no more than 10 seconds,Use a large catheter for thorough suctioning,Suction continuously for 20 seconds,Apply suction while inserting the catheter,A,Suctioning for no more than 10 seconds prevents hypoxia and trauma to the airway in a pediatric patient.
Pediatric Nursing,A 3-year-old child with a fever is prescribed acetaminophen. What is the nurse’s priority before administration?,Administer the dose immediately,Verify the dose based on the child’s weight,Give the medication with a full meal,Check the child’s temperature again,B,Verifying the dose based on the child’s weight ensures safe administration preventing overdose in pediatric patients.
Pediatric Nursing,A 7-year-old child with a seizure disorder has a tonic-clonic seizure. What is the nurse’s priority action?,Restrain the child to prevent injury,Insert a tongue depressor in the mouth,Administer oral anticonvulsant,Protect the airway and ensure safety,D,Protecting the airway and ensuring safety prevents injury and maintains airway patency during a seizure.
Pediatric Nursing,A 1-year-old infant with a ventricular septal defect exhibits cyanosis. Which position is most appropriate?,Supine with head elevated,Prone with head turned,Knee-chest position,Flat on the back,C,The knee-chest position increases systemic vascular resistance reducing right-to-left shunting in congenital heart defects.
Pediatric Nursing,A 4-month-old infant is admitted with respiratory syncytial virus. What is the nurse’s priority intervention?,Administer antibiotics immediately,Maintain airway patency and monitor oxygen saturation,Encourage oral feedings during distress,Position the infant flat for comfort,B,Maintaining airway patency and monitoring oxygen saturation addresses respiratory distress in RSV infection.
Pediatric Nursing,A 12-year-old child with sickle cell anemia reports severe joint pain. What is the nurse’s priority action?,Apply cold packs to the joints,Encourage vigorous exercise,Administer oral fluids only,Assess pain and administer analgesics,D,Assessing pain and administering analgesics addresses vaso-occlusive crisis pain in sickle cell anemia.
Pediatric Nursing,A 3-year-old child with a burn injury requires dressing changes. Which approach minimizes pain?,Perform the change quickly without medication,Use distraction techniques only,Administer analgesics 30 minutes prior,Change dressings every 12 hours,C,Administering analgesics 30 minutes prior minimizes pain during dressing changes for a burn injury.
Pediatric Nursing,A 6-year-old child with a new diagnosis of leukemia has a low platelet count. Which precaution is most important?,Use a soft toothbrush to prevent bleeding,Encourage contact sports for activity,Apply firm pressure to injection sites,Monitor platelet counts weekly,A,Using a soft toothbrush prevents bleeding in a child with a low platelet count due to leukemia.
Pediatric Nursing,A 2-month-old infant with a fever is admitted. What is the nurse’s priority action?,Administer acetaminophen immediately,Assess for signs of infection and notify the provider,Encourage formula feeding to reduce fever,Monitor temperature every 4 hours,B,Assessing for infection and notifying the provider is the priority as fever in a 2-month-old may indicate a serious condition.
Pediatric Nursing,A 10-month-old infant with a cleft palate is scheduled for surgery. Which preoperative instruction is critical?,Withhold oral feedings as ordered,Continue regular feedings until surgery,Administer a sedative before transport,Encourage bottle feeding overnight,A,Withholding oral feedings as ordered prevents aspiration during surgery for a cleft palate repair.
Pediatric Nursing,A 7-year-old child with asthma reports chest tightness. What is the nurse’s first action?,Encourage rest in a supine position,Assess respiratory status and administer a bronchodilator,Monitor oxygen saturation every hour,Administer oxygen without assessment,B,Assessing respiratory status and administering a bronchodilator addresses acute asthma symptoms promptly.
